@relation 'numeric_asos-weka.filters.unsupervised.attribute.Remove-R1001-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute amazing numeric
@attribute awesome numeric
@attribute 'awful customer' numeric
@attribute bad numeric
@attribute believe numeric
@attribute compensation numeric
@attribute 'customer care' numeric
@attribute damaged numeric
@attribute delivery numeric
@attribute disgusting numeric
@attribute excellent numeric
@attribute 'experience highly' numeric
@attribute extra numeric
@attribute fantastic numeric
@attribute forward numeric
@attribute go numeric
@attribute 'got back' numeric
@attribute great numeric
@attribute help numeric
@attribute 'helpful friendly' numeric
@attribute horrible numeric
@attribute ignored numeric
@attribute issue numeric
@attribute kind numeric
@attribute later numeric
@attribute like numeric
@attribute 'long time' numeric
@attribute lost numeric
@attribute love numeric
@attribute lovely numeric
@attribute nice numeric
@attribute number numeric
@attribute order numeric
@attribute pleasure numeric
@attribute poor numeric
@attribute recommend numeric
@attribute returned numeric
@attribute super numeric
@attribute support numeric
@attribute thank numeric
@attribute tried numeric
@attribute useless numeric
@attribute wedding numeric
@attribute wonderful numeric
@attribute worst numeric
@attribute content_afinn numeric

@data
0,0,0,0,0,0,0,0,0.097976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138544,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351008,0.398549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428738,0,0,0,0,0,0,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0.202872,0,0,0.097517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12711,0,0,0,0,0.089928,0,0,0,0,0,0,0.058629,0,0.103443,0,0,0,0,0,0,0,0,0,0.1005,-4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0.515232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316747,0.719297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0.17505,0,0,0.248751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078567,0,0.138621,0,0,0,0,0,0,0,0,0,0,-5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0.148341,0,0,0,0,0,0,0,0,0.140259,0.159256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0.288754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
